city,minority_group,minority_stop_rate,n,state,white_stop_rate
Albany,asian/pacific islander,0.00013603591348115902,1,NY,0.0027486858472773965
Albany,black,0.011297960401208099,303,NY,0.0027486858472773965
Albany,hispanic,0.001560549313358302,15,NY,0.0027486858472773965
Bakersfield,black,0.07173249990586286,1905,CA,0.05520139436048038
Bakersfield,hispanic,0.04438277898019376,8141,CA,0.05520139436048038
Burlington,asian/pacific islander,0.06458880961321818,172,VT,0.07940305308726361
Burlington,black,0.14371772805507746,334,VT,0.07940305308726361
Burlington,hispanic,0.029654036243822075,36,VT,0.07940305308726361
Camden,asian/pacific islander,0.08923208923208924,208,NJ,0.6023261015432789
Camden,black,0.3290510006455778,10194,NJ,0.6023261015432789
Camden,hispanic,0.24920145240110295,9128,NJ,0.6023261015432789
Cincinnati,asian/pacific islander,0.008858109196327912,55,OH,0.03126495122001955
Cincinnati,black,0.05645781959256758,7189,OH,0.03126495122001955
Houston,asian/pacific islander,0.08209932041145517,12419,TX,0.3063136773615413
Houston,black,0.2101618630607765,106650,TX,0.3063136773615413
Little Rock,asian/pacific islander,0.03729871837002958,227,AR,0.08311094583953102
Little Rock,black,0.1369274343197578,11216,AR,0.08311094583953102
Long Beach,asian/pacific islander,0.008221191383824003,537,CA,0.03318020576036689
Long Beach,black,0.07600411946446962,4428,CA,0.03318020576036689
Long Beach,hispanic,0.03886901247004064,7833,CA,0.03318020576036689
Madison,asian/pacific islander,0.04454424636817744,972,WI,0.07169571013022337
Madison,black,0.28713180229655516,4601,WI,0.07169571013022337
Madison,hispanic,0.09523264465174841,1664,WI,0.07169571013022337
Mesa,asian/pacific islander,0.009108946608946608,101,AZ,0.01511961786240115
Mesa,black,0.02610405864473449,438,AZ,0.01511961786240115
Mesa,hispanic,0.008908465705069686,1171,AZ,0.01511961786240115
New Orleans,asian/pacific islander,0.02778018925253928,320,LA,0.0686414967132985
New Orleans,black,0.11393745994794868,26136,LA,0.0686414967132985
New Orleans,hispanic,0.05347817978366281,1147,LA,0.0686414967132985
Oklahoma City,asian/pacific islander,0.07477721813250678,2123,OK,0.19933782797017
Oklahoma City,black,0.23111688542430098,20813,OK,0.19933782797017
Owensboro,asian/pacific islander,0.02205177372962608,23,KY,0.03749420140779734
Owensboro,black,0.06828644501278773,267,KY,0.03749420140779734
Philadelphia,asian/pacific islander,0.06768653485351421,7504,PA,0.0924619559666759
Philadelphia,black,0.3150516455368454,204420,PA,0.0924619559666759
Philadelphia,hispanic,0.13526650644566388,29999,PA,0.0924619559666759
San Antonio,asian/pacific islander,0.039933153746383315,1601,TX,0.14223597906993884
San Antonio,black,0.1705326912157473,16218,TX,0.14223597906993884
San Antonio,hispanic,0.09467661829820259,88566,TX,0.14223597906993884
San Diego,asian/pacific islander,0.00910960916838084,2139,CA,0.018949924370406566
San Diego,black,0.038901466213092796,3282,CA,0.018949924370406566
San Diego,hispanic,0.021693580867263765,9049,CA,0.018949924370406566
San Jose,asian/pacific islander,0.010306967151095992,3678,CA,0.01469964247104532
San Jose,black,0.0598689401996775,1745,CA,0.01469964247104532
San Jose,hispanic,0.03455884797794618,11433,CA,0.01469964247104532
Santa Ana,asian/pacific islander,0.022844206626877958,888,CA,0.04835074129337439
Santa Ana,black,0.10898379970544919,296,CA,0.04835074129337439
Santa Ana,hispanic,0.03482698714253102,9001,CA,0.04835074129337439
Tampa,asian/pacific islander,0.17017183893305976,2654,FL,0.37875769648678015
Tampa,black,0.35669335363605004,29984,FL,0.37875769648678015
Tampa,hispanic,0.17822777693688238,16485,FL,0.37875769648678015
